protocol_id,nccp_code,title,field,original_label,display_label,component,protocol_path,basis
nccp-00794-vcurrent,00794,Sacituzumab Govitecan Therapy,not_recovered_within_3_weeks,Grade 3–4 toxicity not recovered to ≤grade 1 within 3 weeks,Grade 3–4 toxicity not recovered to ≤grade 1 within 3 weeks (Sacituzumab Govitecan),Sacituzumab Govitecan,protocols/breast/00794-sacituzumab-govitecan.json,encoded rule action component
nccp-00796-v4,00796,Pertuzumab/Trastuzumab (Phesgo®) and Docetaxel Therapy,neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Docetaxel),Docetaxel,protocols/breast/00796-phesgo-docetaxel.json,encoded rule action component
nccp-00796-v4,00796,Pertuzumab/Trastuzumab (Phesgo®) and Docetaxel Therapy,skin_reaction_grade,Skin reaction grade,Skin reaction grade (Docetaxel),Docetaxel,protocols/breast/00796-phesgo-docetaxel.json,encoded rule action component
nccp-00796-v4,00796,Pertuzumab/Trastuzumab (Phesgo®) and Docetaxel Therapy,stomatitis_grade,Stomatitis grade,Stomatitis grade (Docetaxel),Docetaxel,protocols/breast/00796-phesgo-docetaxel.json,encoded rule action component
nccp-00798-v3,00798,Pertuzumab/Trastuzumab (Phesgo®) and Vinorelbine Therapy,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Vinorelbine),Vinorelbine,protocols/breast/00798-phesgo-vinorelbine.json,encoded rule action component
nccp-00798-v3,00798,Pertuzumab/Trastuzumab (Phesgo®) and Vinorelbine Therapy,neuropathy_grade,Peripheral neuropathy grade,Peripheral neuropathy grade (Vinorelbine),Vinorelbine,protocols/breast/00798-phesgo-vinorelbine.json,encoded rule action component
nccp-00798-v3,00798,Pertuzumab/Trastuzumab (Phesgo®) and Vinorelbine Therapy,constipation_grade,Constipation grade,Constipation grade (Vinorelbine),Vinorelbine,protocols/breast/00798-phesgo-vinorelbine.json,encoded rule action component
nccp-00798-v3,00798,Pertuzumab/Trastuzumab (Phesgo®) and Vinorelbine Therapy,other_toxicity_grade,Other toxicity grade,Other toxicity grade (Vinorelbine),Vinorelbine,protocols/breast/00798-phesgo-vinorelbine.json,encoded rule action component
nccp-00892-v2,00892,Ribociclib Therapy (Adjuvant) - 28 day,nonhaem_toxicity_grade,Other non-haematological toxicity (CTCAE),Other non-haematological toxicity (CTCAE) (Ribociclib),Ribociclib,protocols/breast/00892-ribociclib-adjuvant.json,encoded rule action component
nccp-00936-vcurrent,00936,"Tucatinib, Trastuzumab and Capecitabine Therapy - 21 days",hand_foot_grade,Palmar-plantar erythrodysaesthesia grade,Palmar-plantar erythrodysaesthesia grade (Capecitabine),Capecitabine,protocols/breast/00936-tucatinib-trastuzumab-capecitabine.json,encoded rule action component
nccp-00936-vcurrent,00936,"Tucatinib, Trastuzumab and Capecitabine Therapy - 21 days",alt_grade,ALT/AST elevation grade,ALT/AST elevation grade (Tucatinib),Tucatinib,protocols/breast/00936-tucatinib-trastuzumab-capecitabine.json,encoded rule action component
nccp-00936-vcurrent,00936,"Tucatinib, Trastuzumab and Capecitabine Therapy - 21 days",bilirubin_grade,Bilirubin elevation grade,Bilirubin elevation grade (Tucatinib),Tucatinib,protocols/breast/00936-tucatinib-trastuzumab-capecitabine.json,encoded rule action component
nccp-00212-v6a,00212,Bevacizumab 10 mg/kg – 14 days,hypersensitivity,Relevant bevacizumab / CHO-product hypersensitivity,Relevant bevacizumab / CHO-product hypersensitivity,Bevacizumab,protocols/breast/00212-bevacizumab-q14d.json,encoded rule action component
nccp-00212-v6a,00212,Bevacizumab 10 mg/kg – 14 days,hypertension_grade,Hypertension grade,Hypertension grade (Bevacizumab),Bevacizumab,protocols/breast/00212-bevacizumab-q14d.json,encoded rule action component
nccp-00212-v6a,00212,Bevacizumab 10 mg/kg – 14 days,fistula_grade,Fistula grade,Fistula grade (Bevacizumab),Bevacizumab,protocols/breast/00212-bevacizumab-q14d.json,encoded rule action component
nccp-00212-v6a,00212,Bevacizumab 10 mg/kg – 14 days,thromboembolic_event_grade,Thromboembolic event grade,Thromboembolic event grade (Bevacizumab),Bevacizumab,protocols/breast/00212-bevacizumab-q14d.json,encoded rule action component
nccp-00212-v6a,00212,Bevacizumab 10 mg/kg – 14 days,haemorrhage_grade,Haemorrhage grade,Haemorrhage grade (Bevacizumab),Bevacizumab,protocols/breast/00212-bevacizumab-q14d.json,encoded rule action component
nccp-00251-v6,00251,Carboplatin AUC 4-6 Monotherapy - 28 day,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Carboplatin),Carboplatin,protocols/breast/00251-carboplatin-q28d.json,encoded rule action component
nccp-00261-v7,00261,Carboplatin AUC 4-6 Monotherapy - 21 day,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Carboplatin),Carboplatin,protocols/breast/00261-carboplatin-q21d.json,encoded rule action component
nccp-00259-v6,00259,Oral Vinorelbine Monotherapy - 7 days,hypersensitivity,Relevant drug/excipient hypersensitivity,Relevant drug/excipient hypersensitivity (Vinorelbine),Vinorelbine,protocols/breast/00259-vinorelbine-oral.json,encoded rule action component
