"code","protocol_id","path","title","in_scope","encoding_maturity","resolution","source_url","organ_inputs","organ_rules","issues"
"00337","nccp-00337-v5","protocols/genitourinary/00337-cisplatin-methotrexate-and-vinblastine-cmv-therapy.json","Cisplatin, Methotrexate and Vinblastine (CMV) Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6798/337_v5_CISplatin_Methotrexate_vinBLAStine_therapy_CMV.pdf","alt_ast_uln_multiple|bilirubin_uln_multiple|cisplatin_renal_band","CIS_RENAL_50|CIS_RENAL_40|CIS_RENAL_LOW",""
"00338","nccp-00338-v5","protocols/genitourinary/00338-methotrexate-vinblastine-doxorubicin-and-cisplatin-mvac-28-day.json","Methotrexate, Vinblastine, Doxorubicin and Cisplatin (MVAC) – 28 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6799/338_v5_MVAC_28_day.pdf","alt_ast_uln_multiple|bilirubin_uln_multiple|cisplatin_renal_band","CIS_RENAL_50|CIS_RENAL_40|CIS_RENAL_LOW",""
"00339","nccp-00339-v7","protocols/lung/00339-vinorelbine-days-1-8-15-and-cisplatin-day-1-21-day.json","Vinorelbine Days 1, 8, 15 and Cisplatin Day 1 – 21 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6918/339_Vin_30CIS_80.pdf","breastfeeding|cisplatin_renal_band|bilirubin_uln_multiple|alt_ast_uln_multiple","PREGNANCY_BREASTFEEDING|CISPLATIN_RENAL_45_59|CISPLATIN_RENAL_LT45|CISPLATIN_RENAL_LT30|CISPLATIN_DIALYSIS|VIN_BILI_1_5_3|VIN_BILI_GT3",""
"00340","nccp-00340-v4","protocols/lung/00340-ceritinib-monotherapy.json","Ceritinib Monotherapy","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6917/340_Ceritinib_monotherapy.pdf","breastfeeding|alt_ast_uln_multiple|bilirubin_uln_multiple|targeted_renal_band|targeted_hepatic_band","PREGNANCY_BREASTFEEDING|TARGET_HEPATITIS|OF590_00340_CERI_RENAL|OF590_00340_CERI_CHILD_C",""
"00342","nccp-00342-v4","protocols/neuro-oncology/00342-temozolomide-recurrent-therapy.json","Temozolomide Recurrent Therapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6961/342_V4_Temozolomide_Recurrent_Therapy_.pdf","breastfeeding|temozolomide_renal_band|hepatic_impairment_band","BREASTFEEDING|TMZ_RENAL_LT36|TMZ_CHILD_PUGH",""
"00343","nccp-00343-v7","protocols/lung/00343-vinorelbine-and-cisplatin-therapy-28-day.json","Vinorelbine and Cisplatin Therapy – 28 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6916/343_V7_Vin25Cis50.pdf","breastfeeding|cisplatin_renal_band|bilirubin_uln_multiple|alt_ast_uln_multiple","PREGNANCY_BREASTFEEDING|CISPLATIN_RENAL_45_59|CISPLATIN_RENAL_LT45|CISPLATIN_RENAL_LT30|CISPLATIN_DIALYSIS|VIN_BILI_1_5_3|VIN_BILI_GT3",""
"00344","nccp-00344-v9","protocols/gastrointestinal/00344-flot-therapy-14-day.json","FLOT Therapy – 14 day","false","not_formally_audited","","https://healthservice.hse.ie/documents/6800/344_FLOT_OGsG2fX.pdf","breastfeeding|oxaliplatin_renal_band|alt_ast_uln_multiple|bilirubin_uln_multiple","PREGNANCY_OR_BREASTFEEDING|OXALIPLATIN_SEVERE_RENAL|OXALIPLATIN_DIALYSIS|TAXANE_LIVER_REVIEW",""
"00348","nccp-00348-v8a","protocols/breast/00348-carbo-auc6-paclitaxel-ddac.json","Carboplatin AUC 6 and weekly Paclitaxel followed by dose-dense AC","false","not_formally_audited","","https://healthservice.hse.ie/documents/6812/348_Carboplatin_AUC_6_and_weekly_Paclitaxel_80mgm2.pdf","crcl_ml_min|gfr_ml_min|haemodialysis|alt_ratio_uln|bilirubin_ratio_uln|bilirubin_umol_l|child_pugh_class","PACLITAXEL_HEPATIC_80|PACLITAXEL_HEPATIC_60|PACLITAXEL_HEPATIC_40|PACLITAXEL_HEPATIC_CONTRAINDICATED|CYCLOPHOSPHAMIDE_RENAL_FULL|CYCLOPHOSPHAMIDE_RENAL_75|CYCLOPHOSPHAMIDE_RENAL_AVOID|DOXORUBICIN_RENAL_STANDARD|DOXORUBICIN_RENAL_LT10|DOXORUBICIN_HAEMODIALYSIS|DOXORUBICIN_HEPATIC_50|DOXORUBICIN_HEPATIC_25|DOXORUBICIN_HEPATIC_NOT_RECOMMENDED|CARBOPLATIN_GFR_EXTREME_CAUTION|CARBOPLATIN_GFR_DO_NOT_ADMINISTER",""
"00350","nccp-00350-v3","protocols/breast/00350-pertuzumab-trastuzumab-chemotherapy.json","Pertuzumab and Trastuzumab with Chemotherapy","false","not_formally_audited","","https://healthservice.hse.ie/documents/6813/350_v3_Pertuzumab_Trastuz_Chemo.pdf","gfr_ml_min|bilirubin_abnormal|alt_ast_uln_multiple|breastfeeding","EXCLUSION_PREGNANCY_BREASTFEEDING|GFR_20_OR_LESS|GFR_20_TO30|BILIRUBIN_ABNORMAL|DOCETAXEL_HEPATIC_REDUCE_A|DOCETAXEL_HEPATIC_REDUCE_B|DOCETAXEL_HEPATIC_DELAY|DOCETAXEL_HEPATIC_UNLISTED_HIGH_TRANSAMINASES|DOCETAXEL_HEPATIC_UNLISTED_HIGH_ALP",""
"00353","nccp-00353-v5","protocols/lung/00353-osimertinib-monotherapy.json","Osimertinib Monotherapy","true","source_reconciled_rule_encoding","structured_rules","https://healthservice.hse.ie/documents/6914/353_V5_Osimertinib_Monotherapy.pdf","breastfeeding|alt_ast_uln_multiple|bilirubin_uln_multiple|targeted_renal_band|targeted_hepatic_band","PREGNANCY_BREASTFEEDING|TARGET_HEPATITIS|OF590_00353_OSI_HEP_SEV",""
