code,title,tumour_group,protocol_id,path,nccp_version,published_date,review_date,last_reviewed_date,source_url,source_version_verified,partial_assessment_supported,required_inputs_count,statically_required_field_count,rule_count,input_count,consultant_reviewed,oncology_pharmacy_reviewed,clinical_use_authorised
00785,Pertuzumab and Trastuzumab (Phesgo®) Maintenance Therapy,Breast,nccp-00785-v3a,protocols/breast/00785-phesgo-maintenance.json,3,2022-12-20,2029-04-12,,https://healthservice.hse.ie/documents/6659/785_v3_Pertuzumab_trastuzumab_Phesgo.pdf,false,true,0,0,11,15,false,false,false
00789,"Docetaxel, Carboplatin and Pertuzumab/Trastuzumab (Phesgo) TCHP",Breast,nccp-00789-v3,protocols/breast/00789-phesgo-tchp.json,3,2022-12-15,2029-06-07,,https://healthservice.hse.ie/documents/6447/789_v3_TCHP_Phesgo.pdf,false,true,0,0,32,24,false,false,false
00790,"Pertuzumab/Trastuzumab (Phesgo), Paclitaxel and Carboplatin (TRAIN-2)",Breast,nccp-00790-v3,protocols/breast/00790-phesgo-paclitaxel-carboplatin-train2.json,3,2022-12-20,2029-07-10,,https://healthservice.hse.ie/documents/6442/790_v3_Phesgo_PACLitaxel_CARBOplatin.pdf,false,true,0,0,32,24,false,false,false
00794,Sacituzumab Govitecan Therapy,Breast,nccp-00794-vcurrent,protocols/breast/00794-sacituzumab-govitecan.json,3,2024-02-23,2030-03-04,,https://healthservice.hse.ie/documents/6417/794_v3_Sacituzumab_Govitecan_Therapy.pdf,false,true,0,0,16,16,false,false,false
00796,Pertuzumab/Trastuzumab (Phesgo®) and Docetaxel Therapy,Breast,nccp-00796-v4,protocols/breast/00796-phesgo-docetaxel.json,4,2022-12-20,2029-05-27,,https://healthservice.hse.ie/documents/6419/796_v4_PertuzumabTrasDoc_Phesgo.pdf,false,true,0,0,14,19,false,false,false
00797,Pertuzumab/Trastuzumab (Phesgo®) and Weekly Paclitaxel Therapy,Breast,nccp-00797-v4,protocols/breast/00797-phesgo-paclitaxel.json,4,2022-12-20,2029-07-10,,https://healthservice.hse.ie/documents/6420/797_v4_PertuzumabTrasPhesgo_PACLitaxel.pdf,false,true,0,0,42,33,false,false,false
00798,Pertuzumab/Trastuzumab (Phesgo®) and Vinorelbine Therapy,Breast,nccp-00798-v3,protocols/breast/00798-phesgo-vinorelbine.json,3,2022-12-20,2029-10-14,,https://healthservice.hse.ie/documents/6421/798_v3_Pertuzumab_trastuzumab_Phesgo_vinorelbine.pdf,false,true,0,0,29,29,false,false,false
00815,Paclitaxel 80 mg/m² weekly and Trastuzumab 21-day,Breast,nccp-00815-v3,protocols/breast/00815-paclitaxel-weekly-trastuzumab-3weekly.json,3,,,,https://healthservice.hse.ie/documents/6427/815_v3_Paclitaxel_weekly_Trastuzumab_3weekly.pdf,false,true,0,0,2,5,false,false,false
00857,"Pembrolizumab, Carboplatin AUC 5 and weekly Paclitaxel 80 mg/m² followed by Doxorubicin and Cyclophosphamide (AC 60/600) Therapy",Breast,nccp-00857-v3,protocols/breast/00857-pembro-carbo-paclitaxel-ac.json,3,2024-06-04,2030-10-22,,https://healthservice.hse.ie/documents/6450/857_v3_Pembro_Carbo_5_Pacli_80_AC60_600.pdf,false,true,0,0,30,27,false,false,false
00858,"Pembrolizumab 200 mg, weekly Carboplatin AUC 1.5 and Paclitaxel 80 mg/m² followed by Doxorubicin and Cyclophosphamide Therapy",Breast,nccp-00858-v3,protocols/breast/00858-pembro-weekly-carbo-paclitaxel-ac.json,3,2024-06-04,2030-10-22,,https://healthservice.hse.ie/documents/6451/858_v3_Pembro_Carbo_1.5_Pacli_80_AC60_600_.pdf,false,true,0,0,30,27,false,false,false
00860,"Pembrolizumab 400 mg, Carboplatin AUC 5 and weekly Paclitaxel followed by dose-dense AC",Breast,nccp-00860-v2,protocols/breast/00860-pembro400-carbo-paclitaxel-ddac.json,2,2024-06-14,2030-08-11,,https://healthservice.hse.ie/documents/6452/860_v2_Pembro_Carbo_AUC_5_Pacli_80_DDAC.pdf,false,true,0,0,30,27,false,false,false
00861,"Pembrolizumab 400 mg, weekly Carboplatin AUC 1.5 and Paclitaxel followed by dose-dense AC",Breast,nccp-00861-v2,protocols/breast/00861-pembro400-weekly-carbo-paclitaxel-ddac.json,2,2024-06-14,2030-08-11,,https://healthservice.hse.ie/documents/6453/861_v2_Pembro_Carbo_AUC_1.5_Pacli_80_DDAC.pdf,false,true,0,0,30,27,false,false,false
00892,Ribociclib Therapy (Adjuvant) - 28 day,Breast,nccp-00892-v2,protocols/breast/00892-ribociclib-adjuvant.json,2,2025-01-27,2031-01-20,,https://healthservice.hse.ie/documents/6649/892_Ribociclib_Adjuvant.pdf,false,true,0,0,12,12,false,false,false
00936,"Tucatinib, Trastuzumab and Capecitabine Therapy - 21 days",Breast,nccp-00936-vcurrent,protocols/breast/00936-tucatinib-trastuzumab-capecitabine.json,1,2026-02-18,2027-02-18,,https://healthservice.hse.ie/documents/8391/936_Tucatinib_Regimen.pdf,true,true,0,0,15,16,false,false,false
00212,Bevacizumab 10 mg/kg – 14 days,Breast,nccp-00212-v6a,protocols/breast/00212-bevacizumab-q14d.json,6a,2015-06-12,2021-04-28,,https://healthservice.hse.ie/documents/6942/212_V6a_Bevacizumab_10mgkg.pdf,false,true,0,0,22,24,false,false,false
00203,Docetaxel Monotherapy 75 mg/m² – 21 day cycle,Breast,nccp-00203-v7,protocols/breast/00203-docetaxel-75-21-day.json,7,,,,https://healthservice.hse.ie/documents/6543/203_DOCEtaxel_75-21day.pdf,false,true,0,0,10,8,false,false,false
00226,"Paclitaxel Monotherapy 80mg/m² Day 1, 8, 15 and 22 – 28 Day",Breast,nccp-00226-v9,protocols/shared/00226-paclitaxel-monotherapy-weekly.json,9,2015-04-29,2030-04-14,,https://healthservice.hse.ie/documents/6562/226_V9_Paclitaxel_80.pdf,false,true,0,0,29,19,false,false,false
00621,"Paclitaxel 80 mg/m² Days 1, 8 and 15 – 28 day",Breast,nccp-00621-v9,protocols/breast/00621-paclitaxel-weekly-3-of-4.json,3,2015-04-29,2030-04-14,,https://healthservice.hse.ie/documents/6688/621_V3_Paclitaxel_80.pdf,false,true,0,0,29,19,false,false,false
00251,Carboplatin AUC 4-6 Monotherapy - 28 day,Breast,nccp-00251-v6,protocols/breast/00251-carboplatin-q28d.json,6,,,,https://healthservice.hse.ie/documents/6355/251_CARBOplatin_AUC4-6_28days.pdf,false,true,0,0,8,11,false,false,false
00261,Carboplatin AUC 4-6 Monotherapy - 21 day,Breast,nccp-00261-v7,protocols/breast/00261-carboplatin-q21d.json,7,,,,https://healthservice.hse.ie/documents/6366/261_CARBOplatinAUC4-6_21days.pdf,false,true,0,0,8,11,false,false,false
00205,Pegylated Liposomal Doxorubicin 50 mg/m² – 28 day,Breast,nccp-00205-v8,protocols/breast/00205-pegylated-liposomal-doxorubicin.json,8,,,,https://healthservice.hse.ie/documents/6546/205_V8_Peg_Lipo_DOXO_28_day.pdf,false,true,0,0,13,18,false,false,false
00259,Oral Vinorelbine Monotherapy - 7 days,,nccp-00259-v6,protocols/breast/00259-vinorelbine-oral.json,6,,,,https://healthservice.hse.ie/documents/6363/259_Vinorelbine_Oral.pdf,false,true,0,0,11,18,false,false,false
00232,Intravenous Vinorelbine Monotherapy - 21 days,Breast,nccp-00232-v5,protocols/breast/00232-vinorelbine-iv.json,5,,,,https://healthservice.hse.ie/documents/6567/232_v5_Vinorelbine_IV.pdf,false,true,0,0,17,14,false,false,false
00228,Eribulin Monotherapy,,nccp-00228-v8,protocols/breast/00228-eribulin-monotherapy.json,8,,,,https://healthservice.hse.ie/documents/6564/228_eriBULin.pdf,false,true,0,0,16,18,false,false,false
00209,FOLFOX-6 Modified Therapy – 14 day,Gastrointestinal,nccp-00209-v10a,protocols/gastrointestinal/00209-modified-folfox6.json,10a,2015-01-10,2030-10-31,,https://healthservice.hse.ie/documents/6549/209_v10a_FOLFOX_6_Modified.pdf,false,true,0,0,32,29,false,false,false
00210,FOLFOX-4 Therapy – 14 day,Gastrointestinal,nccp-00210-v9b,protocols/gastrointestinal/00210-folfox-4-therapy-14-day.json,9b,,,,https://healthservice.hse.ie/documents/6550/210_v9b_FOLFOX4.pdf,false,true,0,0,15,13,false,false,false
00213,Irinotecan Monotherapy – 21 day,Gastrointestinal,nccp-00213-v7,protocols/gastrointestinal/00213-irinotecan-monotherapy-21-day.json,7,,,,https://healthservice.hse.ie/documents/6553/00213_Irinotecan_Monotherapy.pdf,false,true,0,0,10,11,false,false,false
00216,Capecitabine Monotherapy,Gastrointestinal,nccp-00216-v8,protocols/gastrointestinal/00216-capecitabine-monotherapy.json,8,2015-01-10,2030-01-27,,https://healthservice.hse.ie/documents/6558/216_v8_Capecitabine.pdf,false,true,0,0,14,19,false,false,false
00225,Panitumumab 6 mg/kg Therapy,Gastrointestinal,nccp-00225-v6,protocols/gastrointestinal/00225-panitumumab-6-mg-kg-therapy.json,6,,,,https://healthservice.hse.ie/documents/6560/225_Panitumumab_6mgkg.pdf,false,true,0,0,6,7,false,false,false
00227,FOLFIRI Therapy - 14 day,Gastrointestinal,nccp-00227-v9,protocols/gastrointestinal/00227-folfiri.json,9,2015-01-10,2030-01-27,,https://healthservice.hse.ie/documents/6563/227_v9_FOLFIRI.pdf,false,true,0,0,33,26,false,false,false
00235,Teysuno (S-1) and Cisplatin – 28 day,Gastrointestinal,nccp-00235-v5,protocols/gastrointestinal/00235-teysuno-s-1-and-cisplatin-28-day.json,5,,,,https://healthservice.hse.ie/documents/6334/235_Teysuno_CISplatin.pdf,false,true,0,0,17,15,false,false,false
00238,Aflibercept and FOLFIRI Therapy -14 day,Gastrointestinal,nccp-00238-v6,protocols/gastrointestinal/00238-aflibercept-folfiri.json,6,2015-01-10,2030-01-27,,https://healthservice.hse.ie/documents/6336/238_v6_Aflibercept_and_FOLFIRI.pdf,false,true,0,0,39,32,false,false,false
