path,protocol_id,title,counts,renal,hepatic,endocrine,context,toxicity,candidate_fields
"protocols/genitourinary/00494-leuprorelin-3-75mg-q28days.json","nccp-00494-v3","Leuprorelin 3.75 mg Therapy – 28 day",0,0,0,1,0,0,1
"protocols/genitourinary/00518-cabozantinib-monotherapy.json","nccp-00518-v2","Cabozantinib Monotherapy",1,0,2,0,1,4,8
"protocols/genitourinary/00535-avelumab-monotherapy.json","nccp-00535-v6b","Avelumab Monotherapy",1,1,2,3,1,5,13
"protocols/genitourinary/00546-docetaxel-prednisolone.json","nccp-00546-v3","Docetaxel 75 mg/m² – Prednisolone Combination Therapy",3,0,0,0,0,4,7
"protocols/genitourinary/00564-tivozanib-monotherapy.json","nccp-00564-v3","Tivozanib Monotherapy",1,0,2,0,1,4,8
"protocols/genitourinary/00574-apalutamide.json","nccp-00574-v4","Apalutamide Therapy",0,0,0,0,0,1,1
"protocols/genitourinary/00577-abiraterone-prednisolone-mhspc.json","nccp-00577-v3","Abiraterone and prednisolone Therapy (mHSPC)",1,1,3,0,1,2,8
"protocols/genitourinary/00583-pembrolizumab-200-mg-and-axitinib-therapy.json","nccp-00583-v3b","Pembrolizumab 200 mg and Axitinib Therapy",1,1,2,3,1,7,15
"protocols/genitourinary/00602-paclitaxel-ifosfamide-and-cisplatin-tip-therapy.json","nccp-00602-v1","Paclitaxel, Ifosfamide and Cisplatin (TIP) Therapy",4,0,2,0,1,6,13
"protocols/genitourinary/00622-gemcitabine-and-cisplatin-35-mg-m-21-day.json","nccp-00622-v3","Gemcitabine and Cisplatin 35 mg/m² – 21 day",4,0,2,0,1,3,10
"protocols/genitourinary/00628-gemcitabine-and-cisplatin-70-mg-m-21-day.json","nccp-00628-v3","Gemcitabine and Cisplatin 70 mg/m² – 21 day",4,0,2,0,1,3,10
"protocols/genitourinary/00693-darolutamide.json","nccp-00693-v2","Darolutamide Therapy",0,0,0,0,0,1,1
"protocols/genitourinary/00759-gemcitabine-100-mg-m-with-radiotherapy.json","nccp-00759-v1","Gemcitabine 100 mg/m² with Radiotherapy",4,0,2,0,1,2,9
"protocols/genitourinary/00807-intravesical-bcg.json","nccp-00807-v2","Intravesical BCG",1,0,2,0,1,3,7
"protocols/genitourinary/00830-relugolix.json","nccp-00830-v3","Relugolix Therapy",0,0,0,0,0,0,0
"protocols/genitourinary/00846-enfortumab-vedotin-monotherapy.json","nccp-00846-v3a","Enfortumab Vedotin Monotherapy",1,0,2,1,1,4,9
"protocols/genitourinary/00848-niraparib-abiraterone-akeega.json","nccp-00848-v2","Niraparib and Abiraterone acetate (Akeega®) and Prednisolone Therapy",0,0,3,0,0,4,7
"protocols/genitourinary/00885-erdafitinib-therapy.json","nccp-00885-v2","Erdafitinib Therapy",1,0,2,0,1,3,7
"protocols/genitourinary/00894-intravesical-gemcitabine-and-docetaxel.json","nccp-00894-v1","Intravesical Gemcitabine and Docetaxel",1,0,2,0,1,4,8
"protocols/genitourinary/00945-enfortumab-vedotin-and-pembrolizumab-therapy.json","nccp-00945-v1","Enfortumab Vedotin and Pembrolizumab Therapy",1,1,2,4,1,7,16
"protocols/gynaecology/00246-methotrexate-8-day-charing-cross-regimen.json","nccp-00246-v5","Methotrexate 8-day Charing Cross Regimen",4,0,2,0,1,3,10
"protocols/gynaecology/00247-dactinomycin-therapy.json","nccp-00247-v4","Dactinomycin Therapy",4,0,2,0,1,3,10
"protocols/gynaecology/00248-ema-co-therapy.json","nccp-00248-v4","EMA/CO Therapy",4,0,2,0,1,3,10
"protocols/gynaecology/00249-intrathecal-methotrexate-for-cns-prophylaxis-in-gtn.json","nccp-00249-v3","Intrathecal Methotrexate for CNS Prophylaxis in GTN",4,0,2,0,1,3,10
"protocols/gynaecology/00264-ema-ep-therapy.json","nccp-00264-v3b","EMA/EP Therapy",4,0,2,0,1,4,11
"protocols/gynaecology/00266-paclitaxel-etoposide-alternating-with-paclitaxel-cisplatin-te-tp-therapy.json","nccp-00266-v4","Paclitaxel/Etoposide alternating with Paclitaxel/Cisplatin (TE/TP) Therapy",4,0,2,0,1,5,12
"protocols/gynaecology/00267-two-day-etoposide-and-cisplatin-ep-therapy.json","nccp-00267-v4","Two-day Etoposide and Cisplatin (EP) Therapy",4,0,2,0,1,4,11
"protocols/gynaecology/00300-bleomycin-etoposide-and-cisplatin-bep-therapy.json","nccp-00300-v7b","Bleomycin, Etoposide and Cisplatin (BEP) Therapy",4,0,2,0,1,4,11
"protocols/gynaecology/00301-etoposide-and-cisplatin-20-mg-m-ep-5-day-therapy.json","nccp-00301-v5","Etoposide and Cisplatin 20 mg/m² (EP) 5-day Therapy",4,0,2,0,1,3,10
"protocols/gynaecology/00303-carboplatin-paclitaxel-21-day.json","nccp-00303-v6","Carboplatin AUC 5–7.5 and Paclitaxel 175 mg/m² Therapy – 21 day",3,1,2,0,1,3,10
"protocols/gynaecology/00306-gemcitabine-carboplatin.json","nccp-00306-v7","Gemcitabine 1000 mg/m² and Carboplatin AUC 4 Therapy — 21 day",3,1,1,0,2,2,9
"protocols/gynaecology/00308-carboplatin-auc-6-and-weekly-paclitaxel-80-mg-m-therapy.json","nccp-00308-v7","Carboplatin AUC 6 and Weekly Paclitaxel 80 mg/m² Therapy",4,1,2,0,1,3,11
"protocols/gynaecology/00312-topotecan-monotherapy-weekly.json","nccp-00312-v5","Topotecan Monotherapy – Weekly",4,0,2,0,1,2,9
"protocols/gynaecology/00375-trabectedin-and-pegylated-liposomal-doxorubicin-therapy.json","nccp-00375-v6","Trabectedin and Pegylated Liposomal Doxorubicin Therapy",4,0,2,0,1,4,11
"protocols/gynaecology/00385-cisplatin-40-mg-m-weekly-with-radiotherapy.json","nccp-00385-v5","Cisplatin 40 mg/m² Weekly with Radiotherapy",4,0,2,0,1,3,10
"protocols/gynaecology/00419-carboplatin-auc-2-weekly-with-radiotherapy.json","nccp-00419-v4","Carboplatin AUC 2 Weekly with Radiotherapy",4,1,2,0,1,2,10
"protocols/gynaecology/00499-gemcitabine-1000-mg-m-carboplatin-auc-4-and-bevacizumab-15-mg-kg-therapy-21-day.json","nccp-00499-v8","Gemcitabine 1000 mg/m², Carboplatin AUC 4 and Bevacizumab 15 mg/kg Therapy – 21 day",4,1,2,0,1,3,11
"protocols/gynaecology/00620-bevacizumab-7-5-mg-kg-carboplatin-auc-5-and-paclitaxel-175-mg-m-therapy.json","nccp-00620-v2","Bevacizumab 7.5 mg/kg, Carboplatin AUC 5 and Paclitaxel 175 mg/m² Therapy",4,1,2,0,1,4,12
"protocols/gynaecology/00624-carboplatin-pegylated-liposomal-doxorubicin.json","nccp-00624-v3","Carboplatin AUC 5 and Pegylated Liposomal Doxorubicin 30 mg/m² Therapy — 28 day",3,1,1,0,2,5,12
"protocols/gynaecology/00676-cisplatin-50-mg-m-chemoradiation-followed-by-carboplatin-auc-5-and-paclitaxel-175-mg-m.json","nccp-00676-v3","Cisplatin 50 mg/m² Chemoradiation followed by Carboplatin AUC 5 and Paclitaxel 175 mg/m²",4,1,2,0,1,4,12
"protocols/gynaecology/00716-bevacizumab-15-mg-kg-carboplatin-auc-5-and-paclitaxel-175-mg-m-therapy.json","nccp-00716-v2","Bevacizumab 15 mg/kg, Carboplatin AUC 5 and Paclitaxel 175 mg/m² Therapy",4,1,2,0,1,4,12
"protocols/gynaecology/00746-olaparib-tablet-and-bevacizumab-therapy.json","nccp-00746-v2","Olaparib (Tablet) and Bevacizumab Therapy",4,0,2,0,1,3,10
"protocols/gynaecology/00766-bevacizumab-carboplatin-paclitaxel.json","nccp-00766-v2","Bevacizumab 15 mg/kg, Paclitaxel 175 mg/m² and Carboplatin AUC 6 Therapy",3,1,2,0,1,4,11
"protocols/gynaecology/00769-bevacizumab-10-mg-kg-and-paclitaxel-80-mg-m-days-1-8-15-and-22.json","nccp-00769-v2","Bevacizumab 10 mg/kg and Paclitaxel 80 mg/m² Days 1, 8, 15 and 22",4,0,2,0,1,4,11
"protocols/gynaecology/00771-bevacizumab-10-mg-kg-and-topotecan-4-mg-m-therapy.json","nccp-00771-v2","Bevacizumab 10 mg/kg and Topotecan 4 mg/m² Therapy",4,0,2,0,1,3,10
"protocols/gynaecology/00772-bevacizumab-10-mg-kg-and-pegylated-liposomal-doxorubicin-40-mg-m-therapy.json","nccp-00772-v3","Bevacizumab 10 mg/kg and Pegylated Liposomal Doxorubicin 40 mg/m² Therapy",4,0,2,0,1,5,12
"protocols/gynaecology/00799-bevacizumab-paclitaxel-cisplatin.json","nccp-00799-v2","Bevacizumab 15 mg/kg, Paclitaxel 175 mg/m² and Cisplatin 50 mg/m² Therapy",5,1,2,0,1,7,16
"protocols/gynaecology/00811-pembrolizumab-paclitaxel-175-mg-m-carboplatin-auc-5-and-bevacizumab-therapy.json","nccp-00811-v2","Pembrolizumab, Paclitaxel 175 mg/m², Carboplatin AUC 5 and Bevacizumab Therapy",4,2,2,6,1,7,22
"protocols/gynaecology/00812-cemiplimab-therapy.json","nccp-00812-v3a","Cemiplimab Therapy",4,1,2,6,1,5,19
"protocols/gynaecology/00817-pembrolizumab-paclitaxel-175-mg-m-and-carboplatin-auc-5-therapy.json","nccp-00817-v2","Pembrolizumab, Paclitaxel 175 mg/m² and Carboplatin AUC 5 Therapy",4,2,2,6,1,6,21
"protocols/gynaecology/00819-dostarlimab-therapy.json","nccp-00819-v2","Dostarlimab Therapy",4,1,2,6,1,5,19
"protocols/gynaecology/00862-niraparib-tablets-monotherapy.json","nccp-00862-v2","Niraparib (Tablets) Monotherapy",6,1,0,0,2,2,11
"protocols/gynaecology/00904-rucaparib-tablets-monotherapy.json","nccp-00904-v1","Rucaparib (Tablets) Monotherapy",4,0,2,0,1,2,9
"protocols/gynaecology/00929-dostarlimab-paclitaxel-and-carboplatin-therapy.json","nccp-00929-v1","Dostarlimab, Paclitaxel and Carboplatin Therapy",4,2,2,6,1,6,21
"protocols/haemato-oncology/plasma-cell/00218-lenalidomide-dexamethasone-28-day.json","nccp-00218-v3","Lenalidomide 25 mg and Dexamethasone — 28 day",5,1,1,0,0,1,8
"protocols/haemato-oncology/plasma-cell/00245-pomalidomide-dexamethasone.json","nccp-00245-v4a","Pomalidomide and Dexamethasone",5,1,1,0,0,1,8
"protocols/haemato-oncology/plasma-cell/00270-bortezomib-dexamethasone.json","nccp-00270-v3a","Bortezomib and dexamethasone Therapy",3,1,1,0,0,4,9
"protocols/haemato-oncology/plasma-cell/00273-cybord-21-day.json","nccp-00273-v3","Cyclophosphamide, Bortezomib and Dexamethasone (CyBorD) — 21 day",4,1,1,0,0,6,12
"protocols/haemato-oncology/plasma-cell/00275-bortezomib-melphalan-prednisolone.json","nccp-00275-v3","Bortezomib, Melphalan and Prednisolone Therapy",3,1,1,0,0,3,8
"protocols/haemato-oncology/plasma-cell/00299-modified-weekly-cybord.json","nccp-00299-v3a","Modified CyBorD — weekly therapy",4,1,1,0,0,6,12
