protocol_id,nccp_code,version,title,tumour_group,schedule_available,structured_treatment_phases,structured_treatment_object,phase_count,component_count,selectable_dose_level_groups,modification_pathways,source_url,clinical_validation_authorised
nccp-00605-v2,00605,2,Talazoparib,Breast,true,true,false,1,1,0,6,https://healthservice.hse.ie/documents/6414/605_v2_Talazoparib_Therapy.pdf,false
nccp-00619-vcurrent,00619,4a,Adjuvant abemaciclib,Breast,false,false,false,0,0,0,8,https://healthservice.hse.ie/documents/6415/619_Abemaciclib.pdf,false
nccp-00659-v2,00659,2,T-DM1 early breast,Breast,false,false,false,0,0,0,10,https://healthservice.hse.ie/documents/6680/659_v2_Trastuzumab_Emtansine_EBC_21days.pdf,false
nccp-00688-v2a,00688,2a,Atezolizumab + nab-paclitaxel,Breast,true,true,false,1,1,0,39,https://healthservice.hse.ie/documents/6530/688_v2a_Atezolizumab_nab-PACLitaxel.pdf,false
nccp-00720-v2,00720,2,Neratinib extended adjuvant,Breast,false,false,false,0,0,0,13,https://healthservice.hse.ie/documents/6596/720_v2_Neratinib.pdf,false
nccp-00722-v2,00722,2,TCHP: Docetaxel + Carboplatin + Trastuzumab + Pertuzumab,Breast,true,true,false,1,4,0,22,https://healthservice.hse.ie/documents/6598/722_v2_TCHP.pdf,false
nccp-00726-v3a,00726,3a,Pertuzumab + Trastuzumab maintenance,Breast,true,true,false,1,2,0,9,https://healthservice.hse.ie/documents/6599/726_v3a_Pertuzumab_trastuzumab.pdf,false
nccp-00731-v2,00731,2,TCH(SC)P,Breast,true,true,false,1,4,0,22,https://healthservice.hse.ie/documents/6601/731_v2_TCHSCP.pdf,false
nccp-00734-v3,00734,3,Weekly Carboplatin/Paclitaxel → DDAC,Breast,true,true,false,2,4,0,21,https://healthservice.hse.ie/documents/6605/734_CARBOplatin_AUC2weekly__Paclitaxel_TNBC_v3.pdf,false
nccp-00736-v2,00736,2,nab-Paclitaxel weekly,Breast,false,false,false,0,0,0,5,https://healthservice.hse.ie/documents/6619/736_v2_nab-PACLitaxel_weekly.pdf,false
nccp-00738-v3,00738,3,Bevacizumab + paclitaxel,Breast,false,false,false,0,0,0,19,https://healthservice.hse.ie/documents/6671/738.pdf,false
nccp-00743-v3,00743,3,Eribulin 28-day,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6623/743_v3_eriBULin_Monotherapy_28_day.pdf,false
nccp-00745-v2a,00745,2a,DD AC → weekly paclitaxel + trastuzumab q21d,Breast,false,false,false,0,0,0,2,https://healthservice.hse.ie/documents/6624/745_v2a_DDAC_TH_21_day.pdf,false
nccp-00749-v3,00749,3,Gemcitabine monotherapy,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6672/749_v3_Gemcitabine_800_Monotherapy.pdf,false
nccp-00775-v3,00775,3,IV Pertuzumab/Trastuzumab TRAIN-2,Breast,true,true,false,1,3,0,22,https://healthservice.hse.ie/documents/6662/775_v3_Pertuzumab_trastuzumab_PACLitaxel_CARBOplatin.pdf,false
nccp-00776-v3b,00776,3b,Trastuzumab deruxtecan,Breast,false,false,false,0,0,0,15,https://healthservice.hse.ie/documents/6661/Trastuzumab_776_Deruxtecan_5.4mg_Therapy.pdf,false
nccp-00785-v3a,00785,3,Phesgo maintenance,Breast,true,true,false,1,2,0,9,https://healthservice.hse.ie/documents/6659/785_v3_Pertuzumab_trastuzumab_Phesgo.pdf,false
nccp-00789-v3,00789,3,Phesgo TCHP,Breast,true,true,false,1,3,0,22,https://healthservice.hse.ie/documents/6447/789_v3_TCHP_Phesgo.pdf,false
nccp-00790-v3,00790,3,Phesgo + Paclitaxel/Carboplatin (TRAIN-2),Breast,true,true,false,1,3,0,22,https://healthservice.hse.ie/documents/6442/790_v3_Phesgo_PACLitaxel_CARBOplatin.pdf,false
nccp-00794-vcurrent,00794,3,Sacituzumab govitecan,Breast,false,false,false,0,0,0,10,https://healthservice.hse.ie/documents/6417/794_v3_Sacituzumab_Govitecan_Therapy.pdf,false
nccp-00796-v4,00796,4,Phesgo + docetaxel,Breast,false,false,false,0,0,0,14,https://healthservice.hse.ie/documents/6419/796_v4_PertuzumabTrasDoc_Phesgo.pdf,false
nccp-00797-v4,00797,4,Phesgo + paclitaxel,Breast,true,false,true,1,1,1,23,https://healthservice.hse.ie/documents/6420/797_v4_PertuzumabTrasPhesgo_PACLitaxel.pdf,false
nccp-00798-v3,00798,3,Phesgo + vinorelbine,Breast,false,false,false,0,0,0,21,https://healthservice.hse.ie/documents/6421/798_v3_Pertuzumab_trastuzumab_Phesgo_vinorelbine.pdf,false
nccp-00815-v3,00815,3,Weekly paclitaxel + q3w trastuzumab,Breast,false,false,false,0,0,0,0,https://healthservice.hse.ie/documents/6427/815_v3_Paclitaxel_weekly_Trastuzumab_3weekly.pdf,false
nccp-00857-v3,00857,3,Pembrolizumab + Carboplatin/Paclitaxel → AC,Breast,true,true,false,4,8,0,21,https://healthservice.hse.ie/documents/6450/857_v3_Pembro_Carbo_5_Pacli_80_AC60_600.pdf,false
